new_index,County,BU / ACRE
1954-Becker County,BECKER,15.0
1954-Benton County,BENTON,16.0
1954-Big Stone County,BIG STONE,16.0
1954-Blue Earth County,BLUE EARTH,25.0
1954-Brown County,BROWN,23.0
1954-Carver County,CARVER,23.0
1954-Cass County,CASS,10.0
1954-Chippewa County,CHIPPEWA,19.0
1954-Chisago County,CHISAGO,16.0
1954-Clay County,CLAY,14.0
1954-Cottonwood County,COTTONWOOD,21.0
1954-Crow Wing County,CROW WING,12.0
1954-Douglas County,DOUGLAS,17.0
1954-Faribault County,FARIBAULT,26.0
1954-Freeborn County,FREEBORN,24.0
1954-Grant County,GRANT,15.0
1954-Hennepin County,HENNEPIN,22.0
1954-Hubbard County,HUBBARD,14.9
1954-Isanti County,ISANTI,15.0
1954-Jackson County,JACKSON,23.0
1954-Kanabec County,KANABEC,16.0
1954-Kandiyohi County,KANDIYOHI,20.0
1954-Lac Qui Parle County,LAC QUI PARLE,20.0
1954-Le Sueur County,LE SUEUR,24.0
1954-Lincoln County,LINCOLN,18.0
1954-Lyon County,LYON,20.0
1954-Mahnomen County,MAHNOMEN,15.0
1954-Marshall County,MARSHALL,10.0
1954-Martin County,MARTIN,26.0
1954-Mcleod County,MCLEOD,21.0
1954-Meeker County,MEEKER,21.0
1954-Mille Lacs County,MILLE LACS,19.0
1954-Morrison County,MORRISON,14.0
1954-Murray County,MURRAY,20.0
1954-Nicollet County,NICOLLET,24.0
1954-Nobles County,NOBLES,23.0
1954-Norman County,NORMAN,15.0
1954-Otter Tail County,OTTER TAIL,14.0
1954-Pine County,PINE,17.0
1954-Pipestone County,PIPESTONE,19.0
1954-Polk County,POLK,12.9
1954-Pope County,POPE,16.0
1954-Ramsey County,RAMSEY,20.0
1954-Redwood County,REDWOOD,22.0
1954-Renville County,RENVILLE,23.0
1954-Rice County,RICE,18.0
1954-Rock County,ROCK,19.0
1954-Scott County,SCOTT,23.0
1954-Sherburne County,SHERBURNE,14.0
1954-Sibley County,SIBLEY,22.0
1954-Stearns County,STEARNS,14.0
1954-Steele County,STEELE,22.0
1954-Stevens County,STEVENS,17.0
1954-Swift County,SWIFT,16.0
1954-Todd County,TODD,14.0
1954-Traverse County,TRAVERSE,15.0
1954-Wadena County,WADENA,15.0
1954-Waseca County,WASECA,24.0
1954-Washington County,WASHINGTON,18.0
1954-Watonwan County,WATONWAN,22.0
1954-Wilkin County,WILKIN,15.0
1954-Wright County,WRIGHT,16.0
1954-Yellow Medicine County,YELLOW MEDICINE,20.0
1955-Aitkin County,AITKIN,10.0
1955-Anoka County,ANOKA,11.0
1955-Becker County,BECKER,13.0
1955-Beltrami County,BELTRAMI,10.0
1955-Benton County,BENTON,14.0
1955-Big Stone County,BIG STONE,15.0
1955-Blue Earth County,BLUE EARTH,24.0
1955-Brown County,BROWN,22.0
1955-Carver County,CARVER,26.0
1955-Cass County,CASS,10.0
1955-Chippewa County,CHIPPEWA,20.0
1955-Chisago County,CHISAGO,14.0
1955-Clay County,CLAY,14.0
1955-Clearwater County,CLEARWATER,8.0
1955-Cottonwood County,COTTONWOOD,19.0
1955-Crow Wing County,CROW WING,14.0
1955-Douglas County,DOUGLAS,14.0
1955-Faribault County,FARIBAULT,23.0
1955-Freeborn County,FREEBORN,21.0
1955-Grant County,GRANT,15.0
1955-Hennepin County,HENNEPIN,13.0
1955-Hubbard County,HUBBARD,10.0
1955-Isanti County,ISANTI,13.0
1955-Jackson County,JACKSON,20.0
1955-Kanabec County,KANABEC,14.0
1955-Kandiyohi County,KANDIYOHI,20.0
1955-Kittson County,KITTSON,8.0
1955-Lac Qui Parle County,LAC QUI PARLE,21.0
1955-Le Sueur County,LE SUEUR,23.0
1955-Lincoln County,LINCOLN,12.0
1955-Lyon County,LYON,19.0
1955-Mahnomen County,MAHNOMEN,11.0
1955-Marshall County,MARSHALL,8.0
1955-Martin County,MARTIN,22.0
1955-Mcleod County,MCLEOD,24.0
1955-Meeker County,MEEKER,22.0
1955-Mille Lacs County,MILLE LACS,14.0
1955-Morrison County,MORRISON,13.0
1955-Murray County,MURRAY,15.0
1955-Nicollet County,NICOLLET,24.0
1955-Nobles County,NOBLES,18.0
1955-Norman County,NORMAN,13.0
1955-Otter Tail County,OTTER TAIL,14.0
1955-Pennington County,PENNINGTON,9.0
1955-Pine County,PINE,14.0
1955-Pipestone County,PIPESTONE,13.0
1955-Polk County,POLK,10.0
1955-Pope County,POPE,15.0
1955-Ramsey County,RAMSEY,16.0
1955-Red Lake County,RED LAKE,8.0
1955-Redwood County,REDWOOD,20.0
1955-Renville County,RENVILLE,22.0
1955-Rice County,RICE,21.0
1955-Rock County,ROCK,17.0
1955-Roseau County,ROSEAU,7.0
1955-Scott County,SCOTT,25.0
1955-Sherburne County,SHERBURNE,16.0
1955-Sibley County,SIBLEY,25.0
1955-Stearns County,STEARNS,15.0
1955-Steele County,STEELE,20.0
1955-Stevens County,STEVENS,16.0
1955-Swift County,SWIFT,16.0
1955-Todd County,TODD,12.0
1955-Traverse County,TRAVERSE,14.0
1955-Wadena County,WADENA,10.0
1955-Waseca County,WASECA,22.0
1955-Washington County,WASHINGTON,20.0
1955-Watonwan County,WATONWAN,23.0
1955-Wilkin County,WILKIN,14.0
1955-Wright County,WRIGHT,21.0
1955-Yellow Medicine County,YELLOW MEDICINE,21.0
1956-Aitkin County,AITKIN,13.0
1956-Anoka County,ANOKA,13.0
1956-Becker County,BECKER,10.0
1956-Beltrami County,BELTRAMI,9.0
1956-Benton County,BENTON,21.0
1956-Big Stone County,BIG STONE,16.0
1956-Blue Earth County,BLUE EARTH,25.0
1956-Brown County,BROWN,22.0
1956-Carver County,CARVER,18.0
1956-Cass County,CASS,12.0
1956-Chippewa County,CHIPPEWA,20.0
1956-Chisago County,CHISAGO,15.0
1956-Clay County,CLAY,13.0
1956-Clearwater County,CLEARWATER,10.0
1956-Cottonwood County,COTTONWOOD,19.0
1956-Crow Wing County,CROW WING,13.0
1956-Douglas County,DOUGLAS,16.0
1956-Faribault County,FARIBAULT,25.0
1956-Freeborn County,FREEBORN,24.0
1956-Grant County,GRANT,14.0
1956-Hennepin County,HENNEPIN,23.0
1956-Hubbard County,HUBBARD,11.0
1956-Isanti County,ISANTI,12.0
1956-Jackson County,JACKSON,21.0
1956-Kanabec County,KANABEC,17.0
1956-Kandiyohi County,KANDIYOHI,17.0
1956-Kittson County,KITTSON,8.0
1956-Lac Qui Parle County,LAC QUI PARLE,18.0
1956-Lake Of The Woods County,LAKE OF THE WOODS,8.0
1956-Le Sueur County,LE SUEUR,27.0
1956-Lincoln County,LINCOLN,18.0
1956-Lyon County,LYON,18.0
1956-Mahnomen County,MAHNOMEN,12.0
1956-Marshall County,MARSHALL,10.0
1956-Martin County,MARTIN,24.0
1956-Mcleod County,MCLEOD,25.0
1956-Meeker County,MEEKER,20.0
1956-Mille Lacs County,MILLE LACS,19.0
1956-Morrison County,MORRISON,16.0
1956-Murray County,MURRAY,18.0
1956-Nicollet County,NICOLLET,26.0
1956-Nobles County,NOBLES,19.0
1956-Norman County,NORMAN,10.0
1956-Otter Tail County,OTTER TAIL,14.0
1956-Pennington County,PENNINGTON,9.0
1956-Pine County,PINE,18.0
1956-Pipestone County,PIPESTONE,10.0
1956-Polk County,POLK,12.0
1956-Pope County,POPE,17.0
1956-Ramsey County,RAMSEY,23.0
1956-Red Lake County,RED LAKE,10.0
1956-Redwood County,REDWOOD,20.0
1956-Renville County,RENVILLE,22.0
1956-Rice County,RICE,24.0
1956-Rock County,ROCK,17.0
1956-Roseau County,ROSEAU,8.0
1956-Scott County,SCOTT,25.0
1956-Sherburne County,SHERBURNE,13.0
1956-Sibley County,SIBLEY,24.0
1956-Stearns County,STEARNS,16.0
1956-Steele County,STEELE,25.0
1956-Stevens County,STEVENS,16.0
1956-Swift County,SWIFT,17.0
1956-Todd County,TODD,13.0
1956-Traverse County,TRAVERSE,16.0
1956-Wadena County,WADENA,13.0
1956-Waseca County,WASECA,23.0
1956-Washington County,WASHINGTON,22.0
1956-Watonwan County,WATONWAN,22.0
1956-Wilkin County,WILKIN,15.0
1956-Wright County,WRIGHT,25.0
1956-Yellow Medicine County,YELLOW MEDICINE,20.0
1957-Anoka County,ANOKA,18.0
1957-Becker County,BECKER,13.0
1957-Benton County,BENTON,15.0
1957-Big Stone County,BIG STONE,10.0
1957-Blue Earth County,BLUE EARTH,27.0
1957-Brown County,BROWN,26.0
1957-Carver County,CARVER,26.0
1957-Cass County,CASS,15.0
1957-Chippewa County,CHIPPEWA,14.0
1957-Chisago County,CHISAGO,18.0
1957-Clay County,CLAY,17.0
1957-Cottonwood County,COTTONWOOD,22.0
1957-Crow Wing County,CROW WING,17.0
1957-Douglas County,DOUGLAS,19.0
1957-Faribault County,FARIBAULT,27.0
1957-Freeborn County,FREEBORN,25.0
1957-Grant County,GRANT,18.0
1957-Hennepin County,HENNEPIN,23.0
1957-Hubbard County,HUBBARD,13.0
1957-Isanti County,ISANTI,16.0
1957-Jackson County,JACKSON,26.0
1957-Kanabec County,KANABEC,17.0
1957-Kandiyohi County,KANDIYOHI,18.0
1957-Kittson County,KITTSON,14.0
1957-Lac Qui Parle County,LAC QUI PARLE,15.0
1957-Le Sueur County,LE SUEUR,27.0
1957-Lincoln County,LINCOLN,21.0
1957-Lyon County,LYON,19.0
1957-Mahnomen County,MAHNOMEN,15.0
1957-Marshall County,MARSHALL,12.0
1957-Martin County,MARTIN,27.0
1957-Mcleod County,MCLEOD,26.0
1957-Meeker County,MEEKER,20.0
1957-Mille Lacs County,MILLE LACS,14.0
1957-Morrison County,MORRISON,15.0
1957-Murray County,MURRAY,22.0
1957-Nicollet County,NICOLLET,28.0
1957-Nobles County,NOBLES,25.0
1957-Norman County,NORMAN,16.0
1957-Other (Combined) Counties County,OTHER (COMBINED) COUNTIES,11.0
1957-Other (Combined) Counties County,OTHER (COMBINED) COUNTIES,13.3
1957-Other (Combined) Counties County,OTHER (COMBINED) COUNTIES,19.3
1957-Otter Tail County,OTTER TAIL,16.0
1957-Pine County,PINE,15.0
1957-Pipestone County,PIPESTONE,21.0
1957-Polk County,POLK,16.0
1957-Pope County,POPE,17.0
1957-Red Lake County,RED LAKE,12.0
1957-Redwood County,REDWOOD,22.0
1957-Renville County,RENVILLE,21.0
1957-Rice County,RICE,24.0
1957-Rock County,ROCK,26.0
1957-Scott County,SCOTT,24.0
1957-Sherburne County,SHERBURNE,16.0
1957-Sibley County,SIBLEY,24.0
1957-Stearns County,STEARNS,16.0
1957-Steele County,STEELE,27.0
1957-Stevens County,STEVENS,16.0
1957-Swift County,SWIFT,16.0
1957-Todd County,TODD,16.0
1957-Traverse County,TRAVERSE,16.0
1957-Wadena County,WADENA,13.0
1957-Waseca County,WASECA,29.0
1957-Washington County,WASHINGTON,23.0
1957-Watonwan County,WATONWAN,24.0
1957-Wilkin County,WILKIN,18.0
1957-Wright County,WRIGHT,22.0
1957-Yellow Medicine County,YELLOW MEDICINE,19.0
1958-Anoka County,ANOKA,12.0
1958-Becker County,BECKER,12.0
1958-Benton County,BENTON,15.0
1958-Big Stone County,BIG STONE,12.0
1958-Blue Earth County,BLUE EARTH,20.0
1958-Brown County,BROWN,19.0
1958-Carver County,CARVER,21.0
1958-Cass County,CASS,11.0
1958-Chippewa County,CHIPPEWA,16.0
1958-Chisago County,CHISAGO,12.0
1958-Clay County,CLAY,15.0
1958-Clearwater County,CLEARWATER,10.0
1958-Cottonwood County,COTTONWOOD,19.0
1958-Crow Wing County,CROW WING,10.0
1958-Douglas County,DOUGLAS,12.0
1958-Faribault County,FARIBAULT,22.0
1958-Freeborn County,FREEBORN,20.0
1958-Grant County,GRANT,14.0
1958-Hennepin County,HENNEPIN,18.0
1958-Hubbard County,HUBBARD,12.0
1958-Isanti County,ISANTI,12.0
1958-Itasca County,ITASCA,11.0
1958-Jackson County,JACKSON,19.0
1958-Kanabec County,KANABEC,16.0
1958-Kandiyohi County,KANDIYOHI,17.0
1958-Kittson County,KITTSON,11.0
1958-Lac Qui Parle County,LAC QUI PARLE,18.0
1958-Le Sueur County,LE SUEUR,21.0
1958-Lincoln County,LINCOLN,15.0
1958-Lyon County,LYON,17.0
1958-Mahnomen County,MAHNOMEN,11.0
1958-Marshall County,MARSHALL,15.0
1958-Martin County,MARTIN,22.0
1958-Mcleod County,MCLEOD,20.0
1958-Meeker County,MEEKER,18.0
1958-Mille Lacs County,MILLE LACS,14.0
1958-Morrison County,MORRISON,9.0
1958-Murray County,MURRAY,17.0
1958-Nicollet County,NICOLLET,22.0
1958-Nobles County,NOBLES,18.0
1958-Norman County,NORMAN,12.0
1958-Other (Combined) Counties County,OTHER (COMBINED) COUNTIES,14.8
1958-Otter Tail County,OTTER TAIL,13.0
1958-Pennington County,PENNINGTON,10.0
1958-Pine County,PINE,11.0
1958-Pipestone County,PIPESTONE,13.0
1958-Polk County,POLK,11.5
1958-Pope County,POPE,13.0
1958-Redwood County,REDWOOD,20.0
1958-Renville County,RENVILLE,20.0
1958-Rice County,RICE,19.0
1958-Rock County,ROCK,15.0
1958-Scott County,SCOTT,21.0
1958-Sherburne County,SHERBURNE,14.0
1958-Sibley County,SIBLEY,20.0
1958-Stearns County,STEARNS,10.0
1958-Steele County,STEELE,19.0
1958-Stevens County,STEVENS,12.0
1958-Swift County,SWIFT,13.0
1958-Todd County,TODD,11.0
1958-Traverse County,TRAVERSE,12.0
1958-Wadena County,WADENA,12.0
1958-Waseca County,WASECA,19.0
1958-Washington County,WASHINGTON,15.0
1958-Watonwan County,WATONWAN,20.0
1958-Wilkin County,WILKIN,15.0
1958-Wright County,WRIGHT,21.0
1958-Yellow Medicine County,YELLOW MEDICINE,19.0
1959-Aitkin County,AITKIN,14.0
1959-Anoka County,ANOKA,14.0
1959-Becker County,BECKER,13.0
1959-Beltrami County,BELTRAMI,14.0
1959-Benton County,BENTON,13.0
1959-Big Stone County,BIG STONE,9.0
1959-Blue Earth County,BLUE EARTH,23.0
1959-Brown County,BROWN,21.0
1959-Carver County,CARVER,25.0
1959-Cass County,CASS,12.0
1959-Chippewa County,CHIPPEWA,18.0
1959-Chisago County,CHISAGO,16.0
1959-Clay County,CLAY,17.0
1959-Cottonwood County,COTTONWOOD,18.0
1959-Crow Wing County,CROW WING,12.0
1959-Douglas County,DOUGLAS,16.0
1959-Faribault County,FARIBAULT,26.0
1959-Freeborn County,FREEBORN,25.0
1959-Grant County,GRANT,15.0
1959-Hennepin County,HENNEPIN,20.0
1959-Hubbard County,HUBBARD,13.0
1959-Isanti County,ISANTI,16.0
1959-Jackson County,JACKSON,21.0
1959-Kanabec County,KANABEC,16.0
1959-Kandiyohi County,KANDIYOHI,19.0
1959-Kittson County,KITTSON,15.0
1959-Lac Qui Parle County,LAC QUI PARLE,13.0
1959-Lake Of The Woods County,LAKE OF THE WOODS,16.0
1959-Le Sueur County,LE SUEUR,24.0
1959-Lincoln County,LINCOLN,9.0
1959-Lyon County,LYON,12.0
1959-Mahnomen County,MAHNOMEN,14.0
1959-Marshall County,MARSHALL,13.0
1959-Martin County,MARTIN,23.0
1959-Mcleod County,MCLEOD,25.0
1959-Meeker County,MEEKER,20.0
1959-Mille Lacs County,MILLE LACS,15.0
1959-Morrison County,MORRISON,11.0
1959-Murray County,MURRAY,19.0
1959-Nicollet County,NICOLLET,24.0
1959-Nobles County,NOBLES,20.0
1959-Norman County,NORMAN,17.0
1959-Otter Tail County,OTTER TAIL,15.0
1959-Pennington County,PENNINGTON,14.0
1959-Pine County,PINE,13.0
1959-Pipestone County,PIPESTONE,14.0
1959-Polk County,POLK,15.0
1959-Pope County,POPE,16.0
1959-Ramsey County,RAMSEY,19.0
1959-Red Lake County,RED LAKE,16.0
1959-Redwood County,REDWOOD,17.0
1959-Renville County,RENVILLE,22.0
1959-Rice County,RICE,25.0
1959-Rock County,ROCK,19.0
1959-Roseau County,ROSEAU,15.0
1959-Scott County,SCOTT,24.0
1959-Sherburne County,SHERBURNE,13.0
1959-Sibley County,SIBLEY,25.0
1959-Stearns County,STEARNS,14.0
1959-Steele County,STEELE,24.0
1959-Stevens County,STEVENS,10.0
1959-Swift County,SWIFT,14.0
1959-Todd County,TODD,12.0
1959-Traverse County,TRAVERSE,11.0
1959-Wadena County,WADENA,12.0
1959-Waseca County,WASECA,25.0
1959-Washington County,WASHINGTON,22.0
1959-Watonwan County,WATONWAN,20.0
1959-Wilkin County,WILKIN,14.0
1959-Wright County,WRIGHT,23.0
1959-Yellow Medicine County,YELLOW MEDICINE,14.0
1960-Aitkin County,AITKIN,11.0
1960-Anoka County,ANOKA,12.0
1960-Becker County,BECKER,15.0
1960-Benton County,BENTON,12.0
1960-Big Stone County,BIG STONE,15.0
1960-Blue Earth County,BLUE EARTH,20.0
1960-Brown County,BROWN,22.0
1960-Carver County,CARVER,24.0
1960-Cass County,CASS,14.0
1960-Chippewa County,CHIPPEWA,18.0
1960-Chisago County,CHISAGO,11.0
1960-Clay County,CLAY,16.0
1960-Cottonwood County,COTTONWOOD,21.0
1960-Crow Wing County,CROW WING,9.0
1960-Douglas County,DOUGLAS,16.0
1960-Faribault County,FARIBAULT,21.0
1960-Freeborn County,FREEBORN,20.0
1960-Grant County,GRANT,15.0
1960-Hennepin County,HENNEPIN,19.0
1960-Hubbard County,HUBBARD,15.0
1960-Isanti County,ISANTI,11.0
1960-Jackson County,JACKSON,24.0
1960-Kanabec County,KANABEC,12.0
1960-Kandiyohi County,KANDIYOHI,22.0
1960-Kittson County,KITTSON,13.0
1960-Lac Qui Parle County,LAC QUI PARLE,20.0
1960-Lake Of The Woods County,LAKE OF THE WOODS,10.0
1960-Le Sueur County,LE SUEUR,23.0
1960-Lincoln County,LINCOLN,19.0
1960-Lyon County,LYON,22.0
1960-Mahnomen County,MAHNOMEN,14.0
1960-Marshall County,MARSHALL,13.0
