new_index,Year,County,BU / ACRE,county_small
1951-Meeker County,1951,MEEKER,40.0,Meeker County
1951-Mille Lacs County,1951,MILLE LACS,50.0,Mille Lacs County
1951-Morrison County,1951,MORRISON,40.0,Morrison County
1951-Murray County,1951,MURRAY,27.0,Murray County
1951-Nicollet County,1951,NICOLLET,51.0,Nicollet County
1951-Nobles County,1951,NOBLES,34.0,Nobles County
1951-Norman County,1951,NORMAN,28.0,Norman County
1951-Otter Tail County,1951,OTTER TAIL,35.0,Otter Tail County
1951-Pennington County,1951,PENNINGTON,25.0,Pennington County
1951-Pine County,1951,PINE,29.0,Pine County
1951-Pipestone County,1951,PIPESTONE,30.0,Pipestone County
1951-Polk County,1951,POLK,28.0,Polk County
1951-Pope County,1951,POPE,34.0,Pope County
1951-Ramsey County,1951,RAMSEY,34.0,Ramsey County
1951-Red Lake County,1951,RED LAKE,30.0,Red Lake County
1951-Redwood County,1951,REDWOOD,38.0,Redwood County
1951-Renville County,1951,RENVILLE,36.0,Renville County
1951-Rice County,1951,RICE,50.0,Rice County
1951-Rock County,1951,ROCK,38.0,Rock County
1951-Roseau County,1951,ROSEAU,15.0,Roseau County
1951-Scott County,1951,SCOTT,49.0,Scott County
1951-Sherburne County,1951,SHERBURNE,25.0,Sherburne County
1951-Sibley County,1951,SIBLEY,45.0,Sibley County
1951-St. Louis County,1951,ST. LOUIS,29.0,St. Louis County
1951-Stearns County,1951,STEARNS,44.0,Stearns County
1951-Steele County,1951,STEELE,47.0,Steele County
1951-Stevens County,1951,STEVENS,30.0,Stevens County
1951-Swift County,1951,SWIFT,30.0,Swift County
1951-Todd County,1951,TODD,37.0,Todd County
1951-Traverse County,1951,TRAVERSE,27.0,Traverse County
1951-Wadena County,1951,WADENA,28.0,Wadena County
1951-Waseca County,1951,WASECA,48.0,Waseca County
1951-Washington County,1951,WASHINGTON,46.0,Washington County
1951-Watonwan County,1951,WATONWAN,41.0,Watonwan County
1951-Wilkin County,1951,WILKIN,30.0,Wilkin County
1951-Wright County,1951,WRIGHT,45.0,Wright County
1951-Yellow Medicine County,1951,YELLOW MEDICINE,39.0,Yellow Medicine County
1952-Aitkin County,1952,AITKIN,32.0,Aitkin County
1952-Anoka County,1952,ANOKA,46.0,Anoka County
1952-Becker County,1952,BECKER,38.0,Becker County
1952-Beltrami County,1952,BELTRAMI,37.0,Beltrami County
1952-Benton County,1952,BENTON,50.0,Benton County
1952-Big Stone County,1952,BIG STONE,35.0,Big Stone County
1952-Blue Earth County,1952,BLUE EARTH,62.0,Blue Earth County
1952-Brown County,1952,BROWN,54.0,Brown County
1952-Carlton County,1952,CARLTON,25.0,Carlton County
1952-Carver County,1952,CARVER,64.0,Carver County
1952-Cass County,1952,CASS,37.0,Cass County
1952-Chippewa County,1952,CHIPPEWA,47.0,Chippewa County
1952-Chisago County,1952,CHISAGO,50.0,Chisago County
1952-Clay County,1952,CLAY,38.0,Clay County
1952-Clearwater County,1952,CLEARWATER,37.0,Clearwater County
1952-Cottonwood County,1952,COTTONWOOD,51.0,Cottonwood County
1952-Crow Wing County,1952,CROW WING,30.0,Crow Wing County
1952-Douglas County,1952,DOUGLAS,46.0,Douglas County
1952-Faribault County,1952,FARIBAULT,61.0,Faribault County
1952-Freeborn County,1952,FREEBORN,59.0,Freeborn County
1952-Grant County,1952,GRANT,45.0,Grant County
1952-Hennepin County,1952,HENNEPIN,57.0,Hennepin County
1952-Hubbard County,1952,HUBBARD,37.0,Hubbard County
1952-Isanti County,1952,ISANTI,48.0,Isanti County
1952-Itasca County,1952,ITASCA,37.0,Itasca County
1952-Jackson County,1952,JACKSON,58.0,Jackson County
1952-Kanabec County,1952,KANABEC,47.0,Kanabec County
1952-Kandiyohi County,1952,KANDIYOHI,48.0,Kandiyohi County
1952-Kittson County,1952,KITTSON,31.0,Kittson County
1952-Koochiching County,1952,KOOCHICHING,25.0,Koochiching County
1952-Lac Qui Parle County,1952,LAC QUI PARLE,45.0,Lac Qui Parle County
1952-Lake Of The Woods County,1952,LAKE OF THE WOODS,36.0,Lake Of The Woods County
1952-Le Sueur County,1952,LE SUEUR,59.0,Le Sueur County
1952-Lincoln County,1952,LINCOLN,38.0,Lincoln County
1952-Lyon County,1952,LYON,43.0,Lyon County
1952-Mahnomen County,1952,MAHNOMEN,37.0,Mahnomen County
1952-Marshall County,1952,MARSHALL,34.0,Marshall County
1952-Martin County,1952,MARTIN,62.0,Martin County
1952-Mcleod County,1952,MCLEOD,60.0,Mcleod County
1952-Meeker County,1952,MEEKER,53.0,Meeker County
1952-Mille Lacs County,1952,MILLE LACS,45.0,Mille Lacs County
1952-Morrison County,1952,MORRISON,44.0,Morrison County
1952-Murray County,1952,MURRAY,41.0,Murray County
1952-Nicollet County,1952,NICOLLET,62.0,Nicollet County
1952-Nobles County,1952,NOBLES,49.0,Nobles County
1952-Norman County,1952,NORMAN,32.0,Norman County
1952-Otter Tail County,1952,OTTER TAIL,43.0,Otter Tail County
1952-Pennington County,1952,PENNINGTON,37.0,Pennington County
1952-Pine County,1952,PINE,43.0,Pine County
1952-Pipestone County,1952,PIPESTONE,41.0,Pipestone County
1952-Polk County,1952,POLK,37.0,Polk County
1952-Pope County,1952,POPE,48.0,Pope County
1952-Ramsey County,1952,RAMSEY,50.0,Ramsey County
1952-Red Lake County,1952,RED LAKE,37.0,Red Lake County
1952-Redwood County,1952,REDWOOD,48.0,Redwood County
1952-Renville County,1952,RENVILLE,51.0,Renville County
1952-Rice County,1952,RICE,57.0,Rice County
1952-Rock County,1952,ROCK,45.0,Rock County
1952-Roseau County,1952,ROSEAU,34.0,Roseau County
1952-Scott County,1952,SCOTT,60.0,Scott County
1952-Sherburne County,1952,SHERBURNE,38.0,Sherburne County
1952-Sibley County,1952,SIBLEY,54.0,Sibley County
1952-St. Louis County,1952,ST. LOUIS,34.0,St. Louis County
1952-Stearns County,1952,STEARNS,51.0,Stearns County
1952-Steele County,1952,STEELE,59.0,Steele County
1952-Stevens County,1952,STEVENS,43.0,Stevens County
1952-Swift County,1952,SWIFT,42.0,Swift County
1952-Todd County,1952,TODD,48.0,Todd County
1952-Traverse County,1952,TRAVERSE,32.0,Traverse County
1952-Wadena County,1952,WADENA,37.0,Wadena County
1952-Waseca County,1952,WASECA,58.0,Waseca County
1952-Washington County,1952,WASHINGTON,52.0,Washington County
1952-Watonwan County,1952,WATONWAN,55.0,Watonwan County
1952-Wilkin County,1952,WILKIN,36.0,Wilkin County
1952-Wright County,1952,WRIGHT,55.0,Wright County
1952-Yellow Medicine County,1952,YELLOW MEDICINE,45.0,Yellow Medicine County
1953-Aitkin County,1953,AITKIN,29.0,Aitkin County
1953-Anoka County,1953,ANOKA,44.0,Anoka County
1953-Becker County,1953,BECKER,42.0,Becker County
1953-Beltrami County,1953,BELTRAMI,40.0,Beltrami County
1953-Benton County,1953,BENTON,37.0,Benton County
1953-Big Stone County,1953,BIG STONE,38.0,Big Stone County
1953-Blue Earth County,1953,BLUE EARTH,54.0,Blue Earth County
1953-Brown County,1953,BROWN,52.0,Brown County
1953-Carlton County,1953,CARLTON,31.0,Carlton County
1953-Carver County,1953,CARVER,59.0,Carver County
1953-Cass County,1953,CASS,30.0,Cass County
1953-Chippewa County,1953,CHIPPEWA,42.0,Chippewa County
1953-Chisago County,1953,CHISAGO,48.0,Chisago County
1953-Clay County,1953,CLAY,39.0,Clay County
1953-Clearwater County,1953,CLEARWATER,32.0,Clearwater County
1953-Cottonwood County,1953,COTTONWOOD,52.0,Cottonwood County
1953-Crow Wing County,1953,CROW WING,31.0,Crow Wing County
1953-Douglas County,1953,DOUGLAS,41.0,Douglas County
1953-Faribault County,1953,FARIBAULT,58.0,Faribault County
1953-Freeborn County,1953,FREEBORN,55.0,Freeborn County
1953-Grant County,1953,GRANT,38.0,Grant County
1953-Hennepin County,1953,HENNEPIN,48.0,Hennepin County
1953-Hubbard County,1953,HUBBARD,32.0,Hubbard County
1953-Isanti County,1953,ISANTI,50.0,Isanti County
1953-Itasca County,1953,ITASCA,35.0,Itasca County
1953-Jackson County,1953,JACKSON,50.0,Jackson County
1953-Kanabec County,1953,KANABEC,46.0,Kanabec County
1953-Kandiyohi County,1953,KANDIYOHI,43.0,Kandiyohi County
1953-Kittson County,1953,KITTSON,33.0,Kittson County
1953-Koochiching County,1953,KOOCHICHING,29.0,Koochiching County
1953-Lac Qui Parle County,1953,LAC QUI PARLE,45.0,Lac Qui Parle County
1953-Lake Of The Woods County,1953,LAKE OF THE WOODS,30.0,Lake Of The Woods County
1953-Le Sueur County,1953,LE SUEUR,55.0,Le Sueur County
1953-Lincoln County,1953,LINCOLN,46.0,Lincoln County
1953-Lyon County,1953,LYON,49.0,Lyon County
1953-Mahnomen County,1953,MAHNOMEN,39.0,Mahnomen County
1953-Marshall County,1953,MARSHALL,34.0,Marshall County
1953-Martin County,1953,MARTIN,53.0,Martin County
1953-Mcleod County,1953,MCLEOD,58.0,Mcleod County
1953-Meeker County,1953,MEEKER,46.0,Meeker County
1953-Mille Lacs County,1953,MILLE LACS,49.0,Mille Lacs County
1953-Morrison County,1953,MORRISON,42.0,Morrison County
1953-Murray County,1953,MURRAY,53.0,Murray County
1953-Nicollet County,1953,NICOLLET,49.0,Nicollet County
1953-Nobles County,1953,NOBLES,50.0,Nobles County
1953-Norman County,1953,NORMAN,36.0,Norman County
1953-Otter Tail County,1953,OTTER TAIL,37.0,Otter Tail County
1953-Pennington County,1953,PENNINGTON,34.0,Pennington County
1953-Pine County,1953,PINE,39.0,Pine County
1953-Pipestone County,1953,PIPESTONE,46.0,Pipestone County
1953-Polk County,1953,POLK,38.0,Polk County
1953-Pope County,1953,POPE,48.0,Pope County
1953-Ramsey County,1953,RAMSEY,51.0,Ramsey County
1953-Red Lake County,1953,RED LAKE,35.0,Red Lake County
1953-Redwood County,1953,REDWOOD,46.0,Redwood County
1953-Renville County,1953,RENVILLE,46.0,Renville County
1953-Rice County,1953,RICE,55.0,Rice County
1953-Rock County,1953,ROCK,49.0,Rock County
1953-Roseau County,1953,ROSEAU,32.0,Roseau County
1953-Scott County,1953,SCOTT,58.0,Scott County
1953-Sherburne County,1953,SHERBURNE,38.0,Sherburne County
1953-Sibley County,1953,SIBLEY,48.0,Sibley County
1953-St. Louis County,1953,ST. LOUIS,28.0,St. Louis County
1953-Stearns County,1953,STEARNS,42.0,Stearns County
1953-Steele County,1953,STEELE,54.0,Steele County
1953-Stevens County,1953,STEVENS,40.0,Stevens County
1953-Swift County,1953,SWIFT,39.0,Swift County
1953-Todd County,1953,TODD,43.0,Todd County
1953-Traverse County,1953,TRAVERSE,35.0,Traverse County
1953-Wadena County,1953,WADENA,35.0,Wadena County
1953-Waseca County,1953,WASECA,57.0,Waseca County
1953-Washington County,1953,WASHINGTON,55.0,Washington County
1953-Watonwan County,1953,WATONWAN,52.0,Watonwan County
1953-Wilkin County,1953,WILKIN,27.0,Wilkin County
1953-Wright County,1953,WRIGHT,53.0,Wright County
1953-Yellow Medicine County,1953,YELLOW MEDICINE,42.0,Yellow Medicine County
1954-Aitkin County,1954,AITKIN,32.0,Aitkin County
1954-Anoka County,1954,ANOKA,42.0,Anoka County
1954-Becker County,1954,BECKER,35.0,Becker County
1954-Beltrami County,1954,BELTRAMI,38.0,Beltrami County
1954-Benton County,1954,BENTON,36.0,Benton County
1954-Big Stone County,1954,BIG STONE,39.0,Big Stone County
1954-Blue Earth County,1954,BLUE EARTH,58.0,Blue Earth County
1954-Brown County,1954,BROWN,55.0,Brown County
1954-Carlton County,1954,CARLTON,35.0,Carlton County
1954-Carver County,1954,CARVER,63.0,Carver County
1954-Cass County,1954,CASS,34.0,Cass County
1954-Chippewa County,1954,CHIPPEWA,46.0,Chippewa County
1954-Chisago County,1954,CHISAGO,46.0,Chisago County
1954-Clay County,1954,CLAY,34.0,Clay County
1954-Clearwater County,1954,CLEARWATER,37.0,Clearwater County
1954-Cottonwood County,1954,COTTONWOOD,56.0,Cottonwood County
1954-Crow Wing County,1954,CROW WING,34.0,Crow Wing County
1954-Douglas County,1954,DOUGLAS,41.0,Douglas County
1954-Faribault County,1954,FARIBAULT,62.0,Faribault County
1954-Freeborn County,1954,FREEBORN,58.0,Freeborn County
1954-Grant County,1954,GRANT,36.0,Grant County
1954-Hennepin County,1954,HENNEPIN,53.0,Hennepin County
1954-Hubbard County,1954,HUBBARD,26.0,Hubbard County
1954-Isanti County,1954,ISANTI,44.0,Isanti County
1954-Itasca County,1954,ITASCA,35.0,Itasca County
1954-Jackson County,1954,JACKSON,63.0,Jackson County
1954-Kanabec County,1954,KANABEC,44.0,Kanabec County
1954-Kandiyohi County,1954,KANDIYOHI,49.0,Kandiyohi County
1954-Kittson County,1954,KITTSON,27.0,Kittson County
1954-Koochiching County,1954,KOOCHICHING,26.0,Koochiching County
1954-Lac Qui Parle County,1954,LAC QUI PARLE,51.0,Lac Qui Parle County
1954-Lake Of The Woods County,1954,LAKE OF THE WOODS,25.0,Lake Of The Woods County
1954-Le Sueur County,1954,LE SUEUR,65.0,Le Sueur County
1954-Lincoln County,1954,LINCOLN,37.0,Lincoln County
1954-Lyon County,1954,LYON,45.0,Lyon County
1954-Mahnomen County,1954,MAHNOMEN,32.0,Mahnomen County
1954-Marshall County,1954,MARSHALL,29.0,Marshall County
1954-Martin County,1954,MARTIN,62.0,Martin County
1954-Mcleod County,1954,MCLEOD,66.0,Mcleod County
1954-Meeker County,1954,MEEKER,52.0,Meeker County
1954-Mille Lacs County,1954,MILLE LACS,38.0,Mille Lacs County
1954-Morrison County,1954,MORRISON,37.0,Morrison County
1954-Murray County,1954,MURRAY,50.0,Murray County
1954-Nicollet County,1954,NICOLLET,63.0,Nicollet County
1954-Nobles County,1954,NOBLES,58.0,Nobles County
1954-Norman County,1954,NORMAN,33.0,Norman County
1954-Otter Tail County,1954,OTTER TAIL,36.0,Otter Tail County
1954-Pennington County,1954,PENNINGTON,29.0,Pennington County
1954-Pine County,1954,PINE,42.0,Pine County
1954-Pipestone County,1954,PIPESTONE,40.0,Pipestone County
1954-Polk County,1954,POLK,35.0,Polk County
1954-Pope County,1954,POPE,37.0,Pope County
1954-Ramsey County,1954,RAMSEY,55.0,Ramsey County
1954-Red Lake County,1954,RED LAKE,30.0,Red Lake County
1954-Redwood County,1954,REDWOOD,52.0,Redwood County
1954-Renville County,1954,RENVILLE,54.0,Renville County
1954-Rice County,1954,RICE,58.0,Rice County
1954-Rock County,1954,ROCK,44.0,Rock County
1954-Roseau County,1954,ROSEAU,24.0,Roseau County
1954-Scott County,1954,SCOTT,57.0,Scott County
1954-Sherburne County,1954,SHERBURNE,38.0,Sherburne County
1954-Sibley County,1954,SIBLEY,58.0,Sibley County
1954-St. Louis County,1954,ST. LOUIS,26.0,St. Louis County
1954-Stearns County,1954,STEARNS,40.0,Stearns County
1954-Steele County,1954,STEELE,62.0,Steele County
1954-Stevens County,1954,STEVENS,39.0,Stevens County
1954-Swift County,1954,SWIFT,37.0,Swift County
1954-Todd County,1954,TODD,38.0,Todd County
1954-Traverse County,1954,TRAVERSE,35.0,Traverse County
1954-Wadena County,1954,WADENA,34.0,Wadena County
1954-Waseca County,1954,WASECA,62.0,Waseca County
1954-Washington County,1954,WASHINGTON,52.0,Washington County
1954-Watonwan County,1954,WATONWAN,59.0,Watonwan County
1954-Wilkin County,1954,WILKIN,33.0,Wilkin County
1954-Wright County,1954,WRIGHT,50.0,Wright County
1954-Yellow Medicine County,1954,YELLOW MEDICINE,46.0,Yellow Medicine County
1955-Aitkin County,1955,AITKIN,34.0,Aitkin County
1955-Anoka County,1955,ANOKA,44.0,Anoka County
1955-Becker County,1955,BECKER,37.0,Becker County
1955-Beltrami County,1955,BELTRAMI,29.0,Beltrami County
1955-Benton County,1955,BENTON,49.0,Benton County
1955-Big Stone County,1955,BIG STONE,35.0,Big Stone County
1955-Blue Earth County,1955,BLUE EARTH,58.0,Blue Earth County
1955-Brown County,1955,BROWN,54.0,Brown County
1955-Carlton County,1955,CARLTON,44.0,Carlton County
1955-Carver County,1955,CARVER,69.0,Carver County
1955-Cass County,1955,CASS,29.0,Cass County
1955-Chippewa County,1955,CHIPPEWA,49.0,Chippewa County
1955-Chisago County,1955,CHISAGO,48.0,Chisago County
1955-Clay County,1955,CLAY,33.0,Clay County
1955-Clearwater County,1955,CLEARWATER,29.0,Clearwater County
1955-Cottonwood County,1955,COTTONWOOD,39.0,Cottonwood County
1955-Crow Wing County,1955,CROW WING,44.0,Crow Wing County
1955-Douglas County,1955,DOUGLAS,44.0,Douglas County
1955-Faribault County,1955,FARIBAULT,55.0,Faribault County
1955-Freeborn County,1955,FREEBORN,50.0,Freeborn County
1955-Grant County,1955,GRANT,38.0,Grant County
1955-Hennepin County,1955,HENNEPIN,54.0,Hennepin County
1955-Hubbard County,1955,HUBBARD,29.0,Hubbard County
1955-Isanti County,1955,ISANTI,47.0,Isanti County
1955-Itasca County,1955,ITASCA,37.0,Itasca County
1955-Jackson County,1955,JACKSON,49.0,Jackson County
1955-Kanabec County,1955,KANABEC,52.0,Kanabec County
1955-Kandiyohi County,1955,KANDIYOHI,55.0,Kandiyohi County
1955-Kittson County,1955,KITTSON,34.0,Kittson County
1955-Koochiching County,1955,KOOCHICHING,19.0,Koochiching County
1955-Lac Qui Parle County,1955,LAC QUI PARLE,52.0,Lac Qui Parle County
1955-Lake Of The Woods County,1955,LAKE OF THE WOODS,20.0,Lake Of The Woods County
1955-Le Sueur County,1955,LE SUEUR,64.0,Le Sueur County
1955-Lincoln County,1955,LINCOLN,37.0,Lincoln County
1955-Lyon County,1955,LYON,40.0,Lyon County
1955-Mahnomen County,1955,MAHNOMEN,35.0,Mahnomen County
1955-Marshall County,1955,MARSHALL,37.0,Marshall County
1955-Martin County,1955,MARTIN,55.0,Martin County
1955-Mcleod County,1955,MCLEOD,66.0,Mcleod County
1955-Meeker County,1955,MEEKER,57.0,Meeker County
1955-Mille Lacs County,1955,MILLE LACS,55.0,Mille Lacs County
1955-Morrison County,1955,MORRISON,45.0,Morrison County
1955-Murray County,1955,MURRAY,35.0,Murray County
1955-Nicollet County,1955,NICOLLET,62.0,Nicollet County
1955-Nobles County,1955,NOBLES,47.0,Nobles County
1955-Norman County,1955,NORMAN,37.0,Norman County
1955-Otter Tail County,1955,OTTER TAIL,38.0,Otter Tail County
1955-Pennington County,1955,PENNINGTON,34.0,Pennington County
1955-Pine County,1955,PINE,49.0,Pine County
1955-Pipestone County,1955,PIPESTONE,27.0,Pipestone County
1955-Polk County,1955,POLK,40.0,Polk County
1955-Pope County,1955,POPE,43.0,Pope County
1955-Ramsey County,1955,RAMSEY,55.0,Ramsey County
1955-Red Lake County,1955,RED LAKE,36.0,Red Lake County
1955-Redwood County,1955,REDWOOD,43.0,Redwood County
1955-Renville County,1955,RENVILLE,58.0,Renville County
1955-Rice County,1955,RICE,61.0,Rice County
1955-Rock County,1955,ROCK,46.0,Rock County
1955-Roseau County,1955,ROSEAU,34.0,Roseau County
1955-Scott County,1955,SCOTT,64.0,Scott County
1955-Sherburne County,1955,SHERBURNE,38.0,Sherburne County
1955-Sibley County,1955,SIBLEY,63.0,Sibley County
1955-St. Louis County,1955,ST. LOUIS,29.0,St. Louis County
1955-Stearns County,1955,STEARNS,48.0,Stearns County
1955-Steele County,1955,STEELE,56.0,Steele County
1955-Stevens County,1955,STEVENS,44.0,Stevens County
1955-Swift County,1955,SWIFT,43.0,Swift County
1955-Todd County,1955,TODD,42.0,Todd County
1955-Traverse County,1955,TRAVERSE,33.0,Traverse County
1955-Wadena County,1955,WADENA,34.0,Wadena County
1955-Waseca County,1955,WASECA,61.0,Waseca County
1955-Washington County,1955,WASHINGTON,54.0,Washington County
1955-Watonwan County,1955,WATONWAN,53.0,Watonwan County
1955-Wilkin County,1955,WILKIN,34.0,Wilkin County
1955-Wright County,1955,WRIGHT,57.0,Wright County
1955-Yellow Medicine County,1955,YELLOW MEDICINE,52.0,Yellow Medicine County
1956-Aitkin County,1956,AITKIN,43.0,Aitkin County
1956-Anoka County,1956,ANOKA,55.0,Anoka County
1956-Becker County,1956,BECKER,37.0,Becker County
1956-Beltrami County,1956,BELTRAMI,43.0,Beltrami County
1956-Benton County,1956,BENTON,48.0,Benton County
1956-Big Stone County,1956,BIG STONE,51.0,Big Stone County
1956-Blue Earth County,1956,BLUE EARTH,67.0,Blue Earth County
1956-Brown County,1956,BROWN,61.0,Brown County
1956-Carlton County,1956,CARLTON,42.0,Carlton County
1956-Carver County,1956,CARVER,75.0,Carver County
1956-Cass County,1956,CASS,35.0,Cass County
1956-Chippewa County,1956,CHIPPEWA,59.0,Chippewa County
1956-Chisago County,1956,CHISAGO,60.0,Chisago County
1956-Clay County,1956,CLAY,33.0,Clay County
1956-Clearwater County,1956,CLEARWATER,38.0,Clearwater County
1956-Cottonwood County,1956,COTTONWOOD,58.0,Cottonwood County
