index,County,"YIELD, MEASURED IN BU / ACRE"
1951-KITTSON,KITTSON,34.0
1951-KOOCHICHING,KOOCHICHING,30.0
1951-LAC QUI PARLE,LAC QUI PARLE,47.0
1951-LAKE,LAKE,35.0
1951-LAKE OF THE WOODS,LAKE OF THE WOODS,33.0
1951-LE SUEUR,LE SUEUR,43.0
1951-LINCOLN,LINCOLN,48.0
1951-LYON,LYON,53.0
1951-MAHNOMEN,MAHNOMEN,44.0
1951-MARSHALL,MARSHALL,33.0
1951-MARTIN,MARTIN,42.0
1951-MCLEOD,MCLEOD,52.0
1951-MEEKER,MEEKER,45.0
1951-MILLE LACS,MILLE LACS,58.0
1951-MORRISON,MORRISON,42.0
1951-MURRAY,MURRAY,49.0
1951-NICOLLET,NICOLLET,45.0
1951-NOBLES,NOBLES,44.0
1951-NORMAN,NORMAN,36.0
1951-OTTER TAIL,OTTER TAIL,40.0
1951-PENNINGTON,PENNINGTON,30.0
1951-PINE,PINE,48.0
1951-PIPESTONE,PIPESTONE,47.0
1951-POLK,POLK,31.0
1951-POPE,POPE,41.0
1951-RAMSEY,RAMSEY,40.0
1951-RED LAKE,RED LAKE,29.0
1951-REDWOOD,REDWOOD,46.0
1951-RENVILLE,RENVILLE,43.0
1951-RICE,RICE,52.0
1951-ROCK,ROCK,44.0
1951-ROSEAU,ROSEAU,30.0
1951-SCOTT,SCOTT,45.0
1951-SHERBURNE,SHERBURNE,38.0
1951-SIBLEY,SIBLEY,48.0
1951-ST. LOUIS,ST. LOUIS,40.0
1951-STEARNS,STEARNS,44.0
1951-STEELE,STEELE,43.0
1951-STEVENS,STEVENS,41.0
1951-SWIFT,SWIFT,42.0
1951-TODD,TODD,45.0
1951-TRAVERSE,TRAVERSE,42.0
1951-WADENA,WADENA,30.0
1951-WASECA,WASECA,47.0
1951-WASHINGTON,WASHINGTON,45.0
1951-WATONWAN,WATONWAN,43.0
1951-WILKIN,WILKIN,37.0
1951-WRIGHT,WRIGHT,50.0
1951-YELLOW MEDICINE,YELLOW MEDICINE,44.0
1952-AITKIN,AITKIN,31.0
1952-ANOKA,ANOKA,37.0
1952-BECKER,BECKER,35.0
1952-BELTRAMI,BELTRAMI,40.0
1952-BENTON,BENTON,43.0
1952-BIG STONE,BIG STONE,37.0
1952-BLUE EARTH,BLUE EARTH,44.0
1952-BROWN,BROWN,44.0
1952-CARLTON,CARLTON,37.0
1952-CARVER,CARVER,47.0
1952-CASS,CASS,32.0
1952-CHIPPEWA,CHIPPEWA,37.0
1952-CHISAGO,CHISAGO,42.0
1952-CLAY,CLAY,27.0
1952-CLEARWATER,CLEARWATER,40.0
1952-COOK,COOK,32.0
1952-COTTONWOOD,COTTONWOOD,42.0
1952-CROW WING,CROW WING,36.0
1952-DOUGLAS,DOUGLAS,38.0
1952-FARIBAULT,FARIBAULT,42.0
1952-FREEBORN,FREEBORN,42.0
1952-GRANT,GRANT,35.0
1952-HENNEPIN,HENNEPIN,42.0
1952-HUBBARD,HUBBARD,29.0
1952-ISANTI,ISANTI,35.0
1952-ITASCA,ITASCA,39.0
1952-JACKSON,JACKSON,41.0
1952-KANABEC,KANABEC,41.0
1952-KANDIYOHI,KANDIYOHI,42.0
1952-KITTSON,KITTSON,29.0
1952-KOOCHICHING,KOOCHICHING,36.0
1952-LAC QUI PARLE,LAC QUI PARLE,41.0
1952-LAKE,LAKE,33.0
1952-LAKE OF THE WOODS,LAKE OF THE WOODS,39.0
1952-LE SUEUR,LE SUEUR,46.0
1952-LINCOLN,LINCOLN,37.0
1952-LYON,LYON,39.0
1952-MAHNOMEN,MAHNOMEN,35.0
1952-MARSHALL,MARSHALL,30.0
1952-MARTIN,MARTIN,42.0
1952-MCLEOD,MCLEOD,46.0
1952-MEEKER,MEEKER,42.0
1952-MILLE LACS,MILLE LACS,45.0
1952-MORRISON,MORRISON,36.0
1952-MURRAY,MURRAY,37.0
1952-NICOLLET,NICOLLET,46.0
1952-NOBLES,NOBLES,42.0
1952-NORMAN,NORMAN,27.0
1952-OTTER TAIL,OTTER TAIL,34.0
1952-PENNINGTON,PENNINGTON,31.0
1952-PINE,PINE,37.0
1952-PIPESTONE,PIPESTONE,41.0
1952-POLK,POLK,32.0
1952-POPE,POPE,37.0
1952-RAMSEY,RAMSEY,37.0
1952-RED LAKE,RED LAKE,32.0
1952-REDWOOD,REDWOOD,39.0
1952-RENVILLE,RENVILLE,43.0
1952-RICE,RICE,48.0
1952-ROCK,ROCK,38.0
1952-ROSEAU,ROSEAU,34.0
1952-SCOTT,SCOTT,45.0
1952-SHERBURNE,SHERBURNE,29.0
1952-SIBLEY,SIBLEY,46.0
1952-ST. LOUIS,ST. LOUIS,35.0
1952-STEARNS,STEARNS,41.0
1952-STEELE,STEELE,43.0
1952-STEVENS,STEVENS,36.0
1952-SWIFT,SWIFT,39.0
1952-TODD,TODD,40.0
1952-TRAVERSE,TRAVERSE,35.0
1952-WADENA,WADENA,27.0
1952-WASECA,WASECA,45.0
1952-WASHINGTON,WASHINGTON,41.0
1952-WATONWAN,WATONWAN,42.0
1952-WILKIN,WILKIN,33.0
1952-WRIGHT,WRIGHT,44.0
1952-YELLOW MEDICINE,YELLOW MEDICINE,41.0
1953-AITKIN,AITKIN,21.0
1953-ANOKA,ANOKA,28.0
1953-BECKER,BECKER,30.0
1953-BELTRAMI,BELTRAMI,38.0
1953-BENTON,BENTON,33.0
1953-BIG STONE,BIG STONE,31.0
1953-BLUE EARTH,BLUE EARTH,34.0
1953-BROWN,BROWN,35.0
1953-CARLTON,CARLTON,28.0
1953-CARVER,CARVER,48.0
1953-CASS,CASS,27.0
1953-CHIPPEWA,CHIPPEWA,25.0
1953-CHISAGO,CHISAGO,30.0
1953-CLAY,CLAY,30.0
1953-CLEARWATER,CLEARWATER,31.0
1953-COOK,COOK,20.0
1953-COTTONWOOD,COTTONWOOD,28.0
1953-CROW WING,CROW WING,31.0
1953-DOUGLAS,DOUGLAS,38.0
1953-FARIBAULT,FARIBAULT,27.0
1953-FREEBORN,FREEBORN,33.0
1953-GRANT,GRANT,36.0
1953-HENNEPIN,HENNEPIN,37.0
1953-HUBBARD,HUBBARD,23.0
1953-ISANTI,ISANTI,23.0
1953-ITASCA,ITASCA,32.0
1953-JACKSON,JACKSON,22.0
1953-KANABEC,KANABEC,36.0
1953-KANDIYOHI,KANDIYOHI,31.0
1953-KITTSON,KITTSON,35.0
1953-KOOCHICHING,KOOCHICHING,34.0
1953-LAC QUI PARLE,LAC QUI PARLE,30.0
1953-LAKE,LAKE,18.0
1953-LAKE OF THE WOODS,LAKE OF THE WOODS,39.0
1953-LE SUEUR,LE SUEUR,42.0
1953-LINCOLN,LINCOLN,31.0
1953-LYON,LYON,28.0
1953-MAHNOMEN,MAHNOMEN,29.0
1953-MARSHALL,MARSHALL,38.0
1953-MARTIN,MARTIN,25.0
1953-MCLEOD,MCLEOD,43.0
1953-MEEKER,MEEKER,36.0
1953-MILLE LACS,MILLE LACS,30.0
1953-MORRISON,MORRISON,34.0
1953-MURRAY,MURRAY,30.0
1953-NICOLLET,NICOLLET,35.0
1953-NOBLES,NOBLES,21.0
1953-NORMAN,NORMAN,30.0
1953-OTTER TAIL,OTTER TAIL,29.0
1953-PENNINGTON,PENNINGTON,40.0
1953-PINE,PINE,26.0
1953-PIPESTONE,PIPESTONE,35.0
1953-POLK,POLK,34.0
1953-POPE,POPE,34.0
1953-RAMSEY,RAMSEY,30.0
1953-RED LAKE,RED LAKE,37.0
1953-REDWOOD,REDWOOD,24.0
1953-RENVILLE,RENVILLE,28.0
1953-RICE,RICE,38.0
1953-ROCK,ROCK,25.0
1953-ROSEAU,ROSEAU,38.0
1953-SCOTT,SCOTT,44.0
1953-SHERBURNE,SHERBURNE,22.0
1953-SIBLEY,SIBLEY,39.0
1953-ST. LOUIS,ST. LOUIS,22.0
1953-STEARNS,STEARNS,32.0
1953-STEELE,STEELE,38.0
1953-STEVENS,STEVENS,30.0
1953-SWIFT,SWIFT,26.0
1953-TODD,TODD,33.0
1953-TRAVERSE,TRAVERSE,33.0
1953-WADENA,WADENA,21.0
1953-WASECA,WASECA,33.0
1953-WASHINGTON,WASHINGTON,31.0
1953-WATONWAN,WATONWAN,30.0
1953-WILKIN,WILKIN,28.0
1953-WRIGHT,WRIGHT,38.0
1953-YELLOW MEDICINE,YELLOW MEDICINE,27.0
1954-AITKIN,AITKIN,27.0
1954-ANOKA,ANOKA,28.0
1954-BECKER,BECKER,28.0
1954-BELTRAMI,BELTRAMI,28.0
1954-BENTON,BENTON,31.0
1954-BIG STONE,BIG STONE,31.0
1954-BLUE EARTH,BLUE EARTH,50.0
1954-BROWN,BROWN,39.0
1954-CARLTON,CARLTON,33.0
1954-CARVER,CARVER,51.0
1954-CASS,CASS,21.0
1954-CHIPPEWA,CHIPPEWA,33.0
1954-CHISAGO,CHISAGO,31.0
1954-CLAY,CLAY,29.0
1954-CLEARWATER,CLEARWATER,29.0
1954-COTTONWOOD,COTTONWOOD,41.0
1954-CROW WING,CROW WING,27.0
1954-DOUGLAS,DOUGLAS,33.0
1954-FARIBAULT,FARIBAULT,39.0
1954-FREEBORN,FREEBORN,41.0
1954-GRANT,GRANT,34.0
1954-HENNEPIN,HENNEPIN,44.0
1954-HUBBARD,HUBBARD,22.0
1954-ISANTI,ISANTI,24.0
1954-ITASCA,ITASCA,27.0
1954-JACKSON,JACKSON,33.0
1954-KANABEC,KANABEC,32.0
1954-KANDIYOHI,KANDIYOHI,38.0
1954-KITTSON,KITTSON,31.0
1954-KOOCHICHING,KOOCHICHING,34.0
1954-LAC QUI PARLE,LAC QUI PARLE,30.0
1954-LAKE OF THE WOODS,LAKE OF THE WOODS,29.0
1954-LE SUEUR,LE SUEUR,53.0
1954-LINCOLN,LINCOLN,28.0
1954-LYON,LYON,35.0
1954-MAHNOMEN,MAHNOMEN,22.0
1954-MARSHALL,MARSHALL,33.0
1954-MARTIN,MARTIN,34.0
1954-MCLEOD,MCLEOD,51.0
1954-MEEKER,MEEKER,38.0
1954-MILLE LACS,MILLE LACS,27.0
1954-MORRISON,MORRISON,27.0
1954-MURRAY,MURRAY,32.0
1954-NICOLLET,NICOLLET,47.0
1954-NOBLES,NOBLES,36.0
1954-NORMAN,NORMAN,29.0
1954-OTTER TAIL,OTTER TAIL,28.0
1954-PENNINGTON,PENNINGTON,31.0
1954-PINE,PINE,27.0
1954-PIPESTONE,PIPESTONE,29.0
1954-POLK,POLK,32.0
1954-POPE,POPE,29.0
1954-RAMSEY,RAMSEY,38.0
1954-RED LAKE,RED LAKE,31.0
1954-REDWOOD,REDWOOD,41.0
1954-RENVILLE,RENVILLE,43.0
1954-RICE,RICE,47.0
1954-ROCK,ROCK,35.0
1954-ROSEAU,ROSEAU,29.0
1954-SCOTT,SCOTT,46.0
1954-SHERBURNE,SHERBURNE,18.0
1954-SIBLEY,SIBLEY,49.0
1954-ST. LOUIS,ST. LOUIS,21.0
1954-STEARNS,STEARNS,31.0
1954-STEELE,STEELE,44.0
1954-STEVENS,STEVENS,33.0
1954-SWIFT,SWIFT,31.0
1954-TODD,TODD,31.0
1954-TRAVERSE,TRAVERSE,36.0
1954-WADENA,WADENA,19.0
1954-WASECA,WASECA,49.0
1954-WASHINGTON,WASHINGTON,37.0
1954-WATONWAN,WATONWAN,34.0
1954-WILKIN,WILKIN,34.0
1954-WRIGHT,WRIGHT,39.0
1954-YELLOW MEDICINE,YELLOW MEDICINE,34.0
1955-AITKIN,AITKIN,39.0
1955-ANOKA,ANOKA,27.0
1955-BECKER,BECKER,37.0
1955-BELTRAMI,BELTRAMI,34.0
1955-BENTON,BENTON,35.0
1955-BIG STONE,BIG STONE,32.0
1955-BLUE EARTH,BLUE EARTH,52.0
1955-BROWN,BROWN,47.0
1955-CARLTON,CARLTON,33.0
1955-CARVER,CARVER,53.0
1955-CASS,CASS,26.0
1955-CHIPPEWA,CHIPPEWA,40.0
1955-CHISAGO,CHISAGO,44.0
1955-CLAY,CLAY,35.0
1955-CLEARWATER,CLEARWATER,37.0
1955-COTTONWOOD,COTTONWOOD,45.0
1955-CROW WING,CROW WING,29.0
1955-DOUGLAS,DOUGLAS,42.0
1955-FARIBAULT,FARIBAULT,53.0
1955-FREEBORN,FREEBORN,49.0
1955-GRANT,GRANT,35.0
1955-HENNEPIN,HENNEPIN,46.0
1955-HUBBARD,HUBBARD,30.0
1955-ISANTI,ISANTI,33.0
1955-ITASCA,ITASCA,28.0
1955-JACKSON,JACKSON,49.0
1955-KANABEC,KANABEC,41.0
1955-KANDIYOHI,KANDIYOHI,39.0
1955-KITTSON,KITTSON,29.0
1955-KOOCHICHING,KOOCHICHING,23.0
1955-LAC QUI PARLE,LAC QUI PARLE,42.0
1955-LAKE,LAKE,18.0
1955-LAKE OF THE WOODS,LAKE OF THE WOODS,26.0
1955-LE SUEUR,LE SUEUR,55.0
1955-LINCOLN,LINCOLN,41.0
1955-LYON,LYON,41.0
1955-MAHNOMEN,MAHNOMEN,33.0
1955-MARSHALL,MARSHALL,38.0
1955-MARTIN,MARTIN,52.0
1955-MCLEOD,MCLEOD,51.0
1955-MEEKER,MEEKER,47.0
1955-MILLE LACS,MILLE LACS,43.0
1955-MORRISON,MORRISON,36.0
1955-MURRAY,MURRAY,42.0
1955-NICOLLET,NICOLLET,46.0
1955-NOBLES,NOBLES,40.0
1955-NORMAN,NORMAN,30.0
1955-OTTER TAIL,OTTER TAIL,39.0
1955-PENNINGTON,PENNINGTON,35.0
1955-PINE,PINE,42.0
1955-PIPESTONE,PIPESTONE,35.0
1955-POLK,POLK,34.0
1955-POPE,POPE,35.0
1955-RAMSEY,RAMSEY,34.0
1955-RED LAKE,RED LAKE,39.0
1955-REDWOOD,REDWOOD,41.0
1955-RENVILLE,RENVILLE,42.0
1955-RICE,RICE,52.0
1955-ROCK,ROCK,43.0
1955-ROSEAU,ROSEAU,37.0
1955-SCOTT,SCOTT,49.0
1955-SHERBURNE,SHERBURNE,24.0
1955-SIBLEY,SIBLEY,49.0
1955-ST. LOUIS,ST. LOUIS,31.0
1955-STEARNS,STEARNS,39.0
1955-STEELE,STEELE,50.0
1955-STEVENS,STEVENS,34.0
1955-SWIFT,SWIFT,31.0
1955-TODD,TODD,35.0
1955-TRAVERSE,TRAVERSE,36.0
1955-WADENA,WADENA,29.0
1955-WASECA,WASECA,51.0
1955-WASHINGTON,WASHINGTON,44.0
1955-WATONWAN,WATONWAN,45.0
1955-WILKIN,WILKIN,36.0
1955-WRIGHT,WRIGHT,49.0
1955-YELLOW MEDICINE,YELLOW MEDICINE,42.0
1956-AITKIN,AITKIN,43.0
1956-ANOKA,ANOKA,40.0
1956-BECKER,BECKER,35.0
1956-BELTRAMI,BELTRAMI,42.0
1956-BENTON,BENTON,43.0
1956-BIG STONE,BIG STONE,36.0
1956-BLUE EARTH,BLUE EARTH,46.0
1956-BROWN,BROWN,32.0
1956-CARLTON,CARLTON,44.0
1956-CARVER,CARVER,49.0
1956-CASS,CASS,25.0
1956-CHIPPEWA,CHIPPEWA,34.0
1956-CHISAGO,CHISAGO,43.0
1956-CLAY,CLAY,33.0
1956-CLEARWATER,CLEARWATER,38.0
1956-COTTONWOOD,COTTONWOOD,34.0
1956-CROW WING,CROW WING,35.0
1956-DOUGLAS,DOUGLAS,41.0
1956-FARIBAULT,FARIBAULT,43.0
1956-FREEBORN,FREEBORN,50.0
1956-GRANT,GRANT,43.0
1956-HENNEPIN,HENNEPIN,46.0
1956-HUBBARD,HUBBARD,28.0
1956-ISANTI,ISANTI,38.0
1956-ITASCA,ITASCA,32.0
1956-JACKSON,JACKSON,28.0
1956-KANABEC,KANABEC,41.0
1956-KANDIYOHI,KANDIYOHI,37.0
1956-KITTSON,KITTSON,43.0
1956-KOOCHICHING,KOOCHICHING,45.0
1956-LAC QUI PARLE,LAC QUI PARLE,35.0
1956-LAKE,LAKE,32.0
1956-LAKE OF THE WOODS,LAKE OF THE WOODS,45.0
1956-LE SUEUR,LE SUEUR,42.0
1956-LINCOLN,LINCOLN,28.0
1956-LYON,LYON,33.0
1956-MAHNOMEN,MAHNOMEN,36.0
1956-MARSHALL,MARSHALL,44.0
1956-MARTIN,MARTIN,42.0
1956-MCLEOD,MCLEOD,47.0
1956-MEEKER,MEEKER,38.0
1956-MILLE LACS,MILLE LACS,44.0
1956-MORRISON,MORRISON,32.0
1956-MURRAY,MURRAY,31.0
1956-NICOLLET,NICOLLET,41.0
1956-NOBLES,NOBLES,30.0
1956-NORMAN,NORMAN,37.0
1956-OTTER TAIL,OTTER TAIL,37.0
1956-PENNINGTON,PENNINGTON,44.0
1956-PINE,PINE,42.0
1956-PIPESTONE,PIPESTONE,22.0
1956-POLK,POLK,43.0
1956-POPE,POPE,34.0
1956-RAMSEY,RAMSEY,40.0
1956-RED LAKE,RED LAKE,43.0
1956-REDWOOD,REDWOOD,32.0
1956-RENVILLE,RENVILLE,40.0
1956-RICE,RICE,45.0
1956-ROCK,ROCK,20.0
1956-ROSEAU,ROSEAU,46.0
1956-SCOTT,SCOTT,42.0
1956-SHERBURNE,SHERBURNE,26.0
1956-SIBLEY,SIBLEY,42.0
1956-ST. LOUIS,ST. LOUIS,44.0
1956-STEARNS,STEARNS,36.0
1956-STEELE,STEELE,49.0
1956-STEVENS,STEVENS,39.0
1956-SWIFT,SWIFT,38.0
1956-TODD,TODD,38.0
1956-TRAVERSE,TRAVERSE,35.0
1956-WADENA,WADENA,21.0
1956-WASECA,WASECA,53.0
1956-WASHINGTON,WASHINGTON,41.0
1956-WATONWAN,WATONWAN,42.0
1956-WILKIN,WILKIN,34.0
1956-WRIGHT,WRIGHT,45.0
1956-YELLOW MEDICINE,YELLOW MEDICINE,34.0
1957-AITKIN,AITKIN,41.0
1957-ANOKA,ANOKA,37.0
1957-BECKER,BECKER,46.0
1957-BELTRAMI,BELTRAMI,34.0
1957-BENTON,BENTON,34.0
1957-BIG STONE,BIG STONE,30.0
1957-BLUE EARTH,BLUE EARTH,56.0
1957-BROWN,BROWN,54.0
1957-CARLTON,CARLTON,38.0
1957-CARVER,CARVER,55.0
1957-CASS,CASS,30.0
1957-CHIPPEWA,CHIPPEWA,30.0
1957-CHISAGO,CHISAGO,47.0
1957-CLAY,CLAY,44.0
1957-CLEARWATER,CLEARWATER,37.0
1957-COTTONWOOD,COTTONWOOD,40.0
1957-CROW WING,CROW WING,33.0
1957-DOUGLAS,DOUGLAS,35.0
1957-FARIBAULT,FARIBAULT,53.0
1957-FREEBORN,FREEBORN,55.0
1957-GRANT,GRANT,38.0
1957-HENNEPIN,HENNEPIN,49.0
1957-HUBBARD,HUBBARD,28.0
1957-ISANTI,ISANTI,38.0
1957-ITASCA,ITASCA,38.0
1957-JACKSON,JACKSON,39.0
1957-KANABEC,KANABEC,42.0
1957-KANDIYOHI,KANDIYOHI,36.0
1957-KITTSON,KITTSON,28.0
1957-KOOCHICHING,KOOCHICHING,33.0
1957-LAC QUI PARLE,LAC QUI PARLE,41.0
1957-LAKE,LAKE,21.0
1957-LAKE OF THE WOODS,LAKE OF THE WOODS,32.0
1957-LE SUEUR,LE SUEUR,55.0
1957-LINCOLN,LINCOLN,34.0
1957-LYON,LYON,30.0
1957-MAHNOMEN,MAHNOMEN,37.0
1957-MARSHALL,MARSHALL,39.0
1957-MARTIN,MARTIN,47.0
1957-MCLEOD,MCLEOD,49.0
1957-MEEKER,MEEKER,35.0
1957-MILLE LACS,MILLE LACS,41.0
1957-MORRISON,MORRISON,41.0
1957-MURRAY,MURRAY,35.0
1957-NICOLLET,NICOLLET,54.0
1957-NOBLES,NOBLES,36.0
1957-NORMAN,NORMAN,41.0
1957-OTTER TAIL,OTTER TAIL,39.0
1957-PENNINGTON,PENNINGTON,32.0
1957-PINE,PINE,40.0
1957-PIPESTONE,PIPESTONE,40.0
1957-POLK,POLK,41.0
1957-POPE,POPE,38.0
1957-RAMSEY,RAMSEY,49.0
1957-RED LAKE,RED LAKE,39.0
1957-REDWOOD,REDWOOD,40.0
1957-RENVILLE,RENVILLE,38.0
1957-RICE,RICE,50.0
1957-ROCK,ROCK,39.0
1957-ROSEAU,ROSEAU,31.0
1957-SCOTT,SCOTT,50.0
1957-SHERBURNE,SHERBURNE,35.0
1957-SIBLEY,SIBLEY,47.0
1957-ST. LOUIS,ST. LOUIS,41.0
1957-STEARNS,STEARNS,39.0
1957-STEELE,STEELE,55.0
1957-STEVENS,STEVENS,40.0
1957-SWIFT,SWIFT,33.0
1957-TODD,TODD,41.0
1957-TRAVERSE,TRAVERSE,36.0
1957-WADENA,WADENA,28.0
1957-WASECA,WASECA,55.0
1957-WASHINGTON,WASHINGTON,48.0
1957-WATONWAN,WATONWAN,44.0
1957-WILKIN,WILKIN,45.0
1957-WRIGHT,WRIGHT,45.0
1957-YELLOW MEDICINE,YELLOW MEDICINE,36.0
1958-AITKIN,AITKIN,50.0
1958-ANOKA,ANOKA,40.0
1958-BECKER,BECKER,45.0
1958-BELTRAMI,BELTRAMI,50.0
1958-BENTON,BENTON,52.0
1958-BIG STONE,BIG STONE,50.0
1958-BLUE EARTH,BLUE EARTH,63.0
1958-BROWN,BROWN,60.0
1958-CARLTON,CARLTON,52.0
1958-CARVER,CARVER,68.0
1958-CASS,CASS,42.0
1958-CHIPPEWA,CHIPPEWA,48.0
1958-CHISAGO,CHISAGO,57.0
1958-CLAY,CLAY,45.0
1958-CLEARWATER,CLEARWATER,55.0
1958-COTTONWOOD,COTTONWOOD,57.0
1958-CROW WING,CROW WING,39.0
1958-DOUGLAS,DOUGLAS,53.0
1958-FARIBAULT,FARIBAULT,58.0
1958-FREEBORN,FREEBORN,61.0
1958-GRANT,GRANT,59.0
1958-HENNEPIN,HENNEPIN,62.0
1958-HUBBARD,HUBBARD,40.0
1958-ISANTI,ISANTI,51.0
1958-ITASCA,ITASCA,47.0
1958-JACKSON,JACKSON,52.0
1958-KANABEC,KANABEC,52.0
1958-KANDIYOHI,KANDIYOHI,58.0
1958-KITTSON,KITTSON,47.0
1958-KOOCHICHING,KOOCHICHING,51.0
1958-LAC QUI PARLE,LAC QUI PARLE,54.0
1958-LAKE,LAKE,48.0
1958-LAKE OF THE WOODS,LAKE OF THE WOODS,48.0
1958-LE SUEUR,LE SUEUR,66.0
1958-LINCOLN,LINCOLN,51.0
1958-LYON,LYON,48.0
1958-MAHNOMEN,MAHNOMEN,53.0
1958-MARSHALL,MARSHALL,47.0
1958-MARTIN,MARTIN,61.0
1958-MCLEOD,MCLEOD,63.0
1958-MEEKER,MEEKER,56.0
1958-MILLE LACS,MILLE LACS,54.0
1958-MORRISON,MORRISON,44.0
1958-MURRAY,MURRAY,56.0
1958-NICOLLET,NICOLLET,68.0
1958-NOBLES,NOBLES,54.0
1958-NORMAN,NORMAN,48.0
1958-OTTER TAIL,OTTER TAIL,47.0
1958-PENNINGTON,PENNINGTON,54.0
1958-PINE,PINE,50.0
1958-PIPESTONE,PIPESTONE,51.0
1958-POLK,POLK,53.0
1958-POPE,POPE,52.0
1958-RAMSEY,RAMSEY,50.0
1958-RED LAKE,RED LAKE,51.0
1958-REDWOOD,REDWOOD,58.0
1958-RENVILLE,RENVILLE,57.0
1958-RICE,RICE,63.0
1958-ROCK,ROCK,47.0
1958-ROSEAU,ROSEAU,45.0
1958-SCOTT,SCOTT,60.0
1958-SHERBURNE,SHERBURNE,35.0
1958-SIBLEY,SIBLEY,63.0
