new_index,County,BU / ACRE
1952-St. Louis County,ST. LOUIS,34.0
1952-Stearns County,STEARNS,51.0
1952-Steele County,STEELE,59.0
1952-Stevens County,STEVENS,43.0
1952-Swift County,SWIFT,42.0
1952-Todd County,TODD,48.0
1952-Traverse County,TRAVERSE,32.0
1952-Wadena County,WADENA,37.0
1952-Waseca County,WASECA,58.0
1952-Washington County,WASHINGTON,52.0
1952-Watonwan County,WATONWAN,55.0
1952-Wilkin County,WILKIN,36.0
1952-Wright County,WRIGHT,55.0
1952-Yellow Medicine County,YELLOW MEDICINE,45.0
1953-Aitkin County,AITKIN,29.0
1953-Anoka County,ANOKA,44.0
1953-Becker County,BECKER,42.0
1953-Beltrami County,BELTRAMI,40.0
1953-Benton County,BENTON,37.0
1953-Big Stone County,BIG STONE,38.0
1953-Blue Earth County,BLUE EARTH,54.0
1953-Brown County,BROWN,52.0
1953-Carlton County,CARLTON,31.0
1953-Carver County,CARVER,59.0
1953-Cass County,CASS,30.0
1953-Chippewa County,CHIPPEWA,42.0
1953-Chisago County,CHISAGO,48.0
1953-Clay County,CLAY,39.0
1953-Clearwater County,CLEARWATER,32.0
1953-Cottonwood County,COTTONWOOD,52.0
1953-Crow Wing County,CROW WING,31.0
1953-Douglas County,DOUGLAS,41.0
1953-Faribault County,FARIBAULT,58.0
1953-Freeborn County,FREEBORN,55.0
1953-Grant County,GRANT,38.0
1953-Hennepin County,HENNEPIN,48.0
1953-Hubbard County,HUBBARD,32.0
1953-Isanti County,ISANTI,50.0
1953-Itasca County,ITASCA,35.0
1953-Jackson County,JACKSON,50.0
1953-Kanabec County,KANABEC,46.0
1953-Kandiyohi County,KANDIYOHI,43.0
1953-Kittson County,KITTSON,33.0
1953-Koochiching County,KOOCHICHING,29.0
1953-Lac Qui Parle County,LAC QUI PARLE,45.0
1953-Lake Of The Woods County,LAKE OF THE WOODS,30.0
1953-Le Sueur County,LE SUEUR,55.0
1953-Lincoln County,LINCOLN,46.0
1953-Lyon County,LYON,49.0
1953-Mahnomen County,MAHNOMEN,39.0
1953-Marshall County,MARSHALL,34.0
1953-Martin County,MARTIN,53.0
1953-Mcleod County,MCLEOD,58.0
1953-Meeker County,MEEKER,46.0
1953-Mille Lacs County,MILLE LACS,49.0
1953-Morrison County,MORRISON,42.0
1953-Murray County,MURRAY,53.0
1953-Nicollet County,NICOLLET,49.0
1953-Nobles County,NOBLES,50.0
1953-Norman County,NORMAN,36.0
1953-Otter Tail County,OTTER TAIL,37.0
1953-Pennington County,PENNINGTON,34.0
1953-Pine County,PINE,39.0
1953-Pipestone County,PIPESTONE,46.0
1953-Polk County,POLK,38.0
1953-Pope County,POPE,48.0
1953-Ramsey County,RAMSEY,51.0
1953-Red Lake County,RED LAKE,35.0
1953-Redwood County,REDWOOD,46.0
1953-Renville County,RENVILLE,46.0
1953-Rice County,RICE,55.0
1953-Rock County,ROCK,49.0
1953-Roseau County,ROSEAU,32.0
1953-Scott County,SCOTT,58.0
1953-Sherburne County,SHERBURNE,38.0
1953-Sibley County,SIBLEY,48.0
1953-St. Louis County,ST. LOUIS,28.0
1953-Stearns County,STEARNS,42.0
1953-Steele County,STEELE,54.0
1953-Stevens County,STEVENS,40.0
1953-Swift County,SWIFT,39.0
1953-Todd County,TODD,43.0
1953-Traverse County,TRAVERSE,35.0
1953-Wadena County,WADENA,35.0
1953-Waseca County,WASECA,57.0
1953-Washington County,WASHINGTON,55.0
1953-Watonwan County,WATONWAN,52.0
1953-Wilkin County,WILKIN,27.0
1953-Wright County,WRIGHT,53.0
1953-Yellow Medicine County,YELLOW MEDICINE,42.0
1954-Aitkin County,AITKIN,32.0
1954-Anoka County,ANOKA,42.0
1954-Becker County,BECKER,35.0
1954-Beltrami County,BELTRAMI,38.0
1954-Benton County,BENTON,36.0
1954-Big Stone County,BIG STONE,39.0
1954-Blue Earth County,BLUE EARTH,58.0
1954-Brown County,BROWN,55.0
1954-Carlton County,CARLTON,35.0
1954-Carver County,CARVER,63.0
1954-Cass County,CASS,34.0
1954-Chippewa County,CHIPPEWA,46.0
1954-Chisago County,CHISAGO,46.0
1954-Clay County,CLAY,34.0
1954-Clearwater County,CLEARWATER,37.0
1954-Cottonwood County,COTTONWOOD,56.0
1954-Crow Wing County,CROW WING,34.0
1954-Douglas County,DOUGLAS,41.0
1954-Faribault County,FARIBAULT,62.0
1954-Freeborn County,FREEBORN,58.0
1954-Grant County,GRANT,36.0
1954-Hennepin County,HENNEPIN,53.0
1954-Hubbard County,HUBBARD,26.0
1954-Isanti County,ISANTI,44.0
1954-Itasca County,ITASCA,35.0
1954-Jackson County,JACKSON,63.0
1954-Kanabec County,KANABEC,44.0
1954-Kandiyohi County,KANDIYOHI,49.0
1954-Kittson County,KITTSON,27.0
1954-Koochiching County,KOOCHICHING,26.0
1954-Lac Qui Parle County,LAC QUI PARLE,51.0
1954-Lake Of The Woods County,LAKE OF THE WOODS,25.0
1954-Le Sueur County,LE SUEUR,65.0
1954-Lincoln County,LINCOLN,37.0
1954-Lyon County,LYON,45.0
1954-Mahnomen County,MAHNOMEN,32.0
1954-Marshall County,MARSHALL,29.0
1954-Martin County,MARTIN,62.0
1954-Mcleod County,MCLEOD,66.0
1954-Meeker County,MEEKER,52.0
1954-Mille Lacs County,MILLE LACS,38.0
1954-Morrison County,MORRISON,37.0
1954-Murray County,MURRAY,50.0
1954-Nicollet County,NICOLLET,63.0
1954-Nobles County,NOBLES,58.0
1954-Norman County,NORMAN,33.0
1954-Otter Tail County,OTTER TAIL,36.0
1954-Pennington County,PENNINGTON,29.0
1954-Pine County,PINE,42.0
1954-Pipestone County,PIPESTONE,40.0
1954-Polk County,POLK,35.0
1954-Pope County,POPE,37.0
1954-Ramsey County,RAMSEY,55.0
1954-Red Lake County,RED LAKE,30.0
1954-Redwood County,REDWOOD,52.0
1954-Renville County,RENVILLE,54.0
1954-Rice County,RICE,58.0
1954-Rock County,ROCK,44.0
1954-Roseau County,ROSEAU,24.0
1954-Scott County,SCOTT,57.0
1954-Sherburne County,SHERBURNE,38.0
1954-Sibley County,SIBLEY,58.0
1954-St. Louis County,ST. LOUIS,26.0
1954-Stearns County,STEARNS,40.0
1954-Steele County,STEELE,62.0
1954-Stevens County,STEVENS,39.0
1954-Swift County,SWIFT,37.0
1954-Todd County,TODD,38.0
1954-Traverse County,TRAVERSE,35.0
1954-Wadena County,WADENA,34.0
1954-Waseca County,WASECA,62.0
1954-Washington County,WASHINGTON,52.0
1954-Watonwan County,WATONWAN,59.0
1954-Wilkin County,WILKIN,33.0
1954-Wright County,WRIGHT,50.0
1954-Yellow Medicine County,YELLOW MEDICINE,46.0
1955-Aitkin County,AITKIN,34.0
1955-Anoka County,ANOKA,44.0
1955-Becker County,BECKER,37.0
1955-Beltrami County,BELTRAMI,29.0
1955-Benton County,BENTON,49.0
1955-Big Stone County,BIG STONE,35.0
1955-Blue Earth County,BLUE EARTH,58.0
1955-Brown County,BROWN,54.0
1955-Carlton County,CARLTON,44.0
1955-Carver County,CARVER,69.0
1955-Cass County,CASS,29.0
1955-Chippewa County,CHIPPEWA,49.0
1955-Chisago County,CHISAGO,48.0
1955-Clay County,CLAY,33.0
1955-Clearwater County,CLEARWATER,29.0
1955-Cottonwood County,COTTONWOOD,39.0
1955-Crow Wing County,CROW WING,44.0
1955-Douglas County,DOUGLAS,44.0
1955-Faribault County,FARIBAULT,55.0
1955-Freeborn County,FREEBORN,50.0
1955-Grant County,GRANT,38.0
1955-Hennepin County,HENNEPIN,54.0
1955-Hubbard County,HUBBARD,29.0
1955-Isanti County,ISANTI,47.0
1955-Itasca County,ITASCA,37.0
1955-Jackson County,JACKSON,49.0
1955-Kanabec County,KANABEC,52.0
1955-Kandiyohi County,KANDIYOHI,55.0
1955-Kittson County,KITTSON,34.0
1955-Koochiching County,KOOCHICHING,19.0
1955-Lac Qui Parle County,LAC QUI PARLE,52.0
1955-Lake Of The Woods County,LAKE OF THE WOODS,20.0
1955-Le Sueur County,LE SUEUR,64.0
1955-Lincoln County,LINCOLN,37.0
1955-Lyon County,LYON,40.0
1955-Mahnomen County,MAHNOMEN,35.0
1955-Marshall County,MARSHALL,37.0
1955-Martin County,MARTIN,55.0
1955-Mcleod County,MCLEOD,66.0
1955-Meeker County,MEEKER,57.0
1955-Mille Lacs County,MILLE LACS,55.0
1955-Morrison County,MORRISON,45.0
1955-Murray County,MURRAY,35.0
1955-Nicollet County,NICOLLET,62.0
1955-Nobles County,NOBLES,47.0
1955-Norman County,NORMAN,37.0
1955-Otter Tail County,OTTER TAIL,38.0
1955-Pennington County,PENNINGTON,34.0
1955-Pine County,PINE,49.0
1955-Pipestone County,PIPESTONE,27.0
1955-Polk County,POLK,40.0
1955-Pope County,POPE,43.0
1955-Ramsey County,RAMSEY,55.0
1955-Red Lake County,RED LAKE,36.0
1955-Redwood County,REDWOOD,43.0
1955-Renville County,RENVILLE,58.0
1955-Rice County,RICE,61.0
1955-Rock County,ROCK,46.0
1955-Roseau County,ROSEAU,34.0
1955-Scott County,SCOTT,64.0
1955-Sherburne County,SHERBURNE,38.0
1955-Sibley County,SIBLEY,63.0
1955-St. Louis County,ST. LOUIS,29.0
1955-Stearns County,STEARNS,48.0
1955-Steele County,STEELE,56.0
1955-Stevens County,STEVENS,44.0
1955-Swift County,SWIFT,43.0
1955-Todd County,TODD,42.0
1955-Traverse County,TRAVERSE,33.0
1955-Wadena County,WADENA,34.0
1955-Waseca County,WASECA,61.0
1955-Washington County,WASHINGTON,54.0
1955-Watonwan County,WATONWAN,53.0
1955-Wilkin County,WILKIN,34.0
1955-Wright County,WRIGHT,57.0
1955-Yellow Medicine County,YELLOW MEDICINE,52.0
1956-Aitkin County,AITKIN,43.0
1956-Anoka County,ANOKA,55.0
1956-Becker County,BECKER,37.0
1956-Beltrami County,BELTRAMI,43.0
1956-Benton County,BENTON,48.0
1956-Big Stone County,BIG STONE,51.0
1956-Blue Earth County,BLUE EARTH,67.0
1956-Brown County,BROWN,61.0
1956-Carlton County,CARLTON,42.0
1956-Carver County,CARVER,75.0
1956-Cass County,CASS,35.0
1956-Chippewa County,CHIPPEWA,59.0
1956-Chisago County,CHISAGO,60.0
1956-Clay County,CLAY,33.0
1956-Clearwater County,CLEARWATER,38.0
1956-Cottonwood County,COTTONWOOD,58.0
1956-Crow Wing County,CROW WING,43.0
1956-Douglas County,DOUGLAS,47.0
1956-Faribault County,FARIBAULT,66.0
1956-Freeborn County,FREEBORN,68.0
1956-Grant County,GRANT,38.0
1956-Hennepin County,HENNEPIN,65.0
1956-Hubbard County,HUBBARD,33.0
1956-Isanti County,ISANTI,57.0
1956-Itasca County,ITASCA,35.0
1956-Jackson County,JACKSON,57.0
1956-Kanabec County,KANABEC,54.0
1956-Kandiyohi County,KANDIYOHI,60.0
1956-Kittson County,KITTSON,36.0
1956-Koochiching County,KOOCHICHING,32.0
1956-Lac Qui Parle County,LAC QUI PARLE,58.0
1956-Lake Of The Woods County,LAKE OF THE WOODS,33.0
1956-Le Sueur County,LE SUEUR,70.0
1956-Lincoln County,LINCOLN,47.0
1956-Lyon County,LYON,55.0
1956-Mahnomen County,MAHNOMEN,33.0
1956-Marshall County,MARSHALL,42.0
1956-Martin County,MARTIN,64.0
1956-Mcleod County,MCLEOD,67.0
1956-Meeker County,MEEKER,60.0
1956-Mille Lacs County,MILLE LACS,55.0
1956-Morrison County,MORRISON,48.0
1956-Murray County,MURRAY,51.0
1956-Nicollet County,NICOLLET,68.0
1956-Nobles County,NOBLES,51.0
1956-Norman County,NORMAN,34.0
1956-Otter Tail County,OTTER TAIL,41.0
1956-Pennington County,PENNINGTON,40.0
1956-Pine County,PINE,47.0
1956-Pipestone County,PIPESTONE,45.0
1956-Polk County,POLK,35.0
1956-Pope County,POPE,50.0
1956-Ramsey County,RAMSEY,63.0
1956-Red Lake County,RED LAKE,35.0
1956-Redwood County,REDWOOD,57.0
1956-Renville County,RENVILLE,60.0
1956-Rice County,RICE,67.0
1956-Rock County,ROCK,46.0
1956-Roseau County,ROSEAU,34.0
1956-Scott County,SCOTT,71.0
1956-Sherburne County,SHERBURNE,48.0
1956-Sibley County,SIBLEY,64.0
1956-St. Louis County,ST. LOUIS,35.0
1956-Stearns County,STEARNS,54.0
1956-Steele County,STEELE,68.0
1956-Stevens County,STEVENS,44.0
1956-Swift County,SWIFT,52.0
1956-Todd County,TODD,47.0
1956-Traverse County,TRAVERSE,40.0
1956-Wadena County,WADENA,40.0
1956-Waseca County,WASECA,69.0
1956-Washington County,WASHINGTON,62.0
1956-Watonwan County,WATONWAN,63.0
1956-Wilkin County,WILKIN,36.0
1956-Wright County,WRIGHT,63.0
1956-Yellow Medicine County,YELLOW MEDICINE,58.0
1957-Anoka County,ANOKA,55.0
1957-Big Stone County,BIG STONE,33.0
1957-Blue Earth County,BLUE EARTH,72.0
1957-Brown County,BROWN,69.0
1957-Carver County,CARVER,72.0
1957-Chippewa County,CHIPPEWA,42.0
1957-Chisago County,CHISAGO,59.0
1957-Clay County,CLAY,38.0
1957-Cottonwood County,COTTONWOOD,59.0
1957-Douglas County,DOUGLAS,36.0
1957-Faribault County,FARIBAULT,70.0
1957-Freeborn County,FREEBORN,69.0
1957-Grant County,GRANT,37.0
1957-Hennepin County,HENNEPIN,60.0
1957-Isanti County,ISANTI,52.0
1957-Jackson County,JACKSON,61.0
1957-Kandiyohi County,KANDIYOHI,48.0
1957-Lac Qui Parle County,LAC QUI PARLE,40.0
1957-Le Sueur County,LE SUEUR,72.0
1957-Lincoln County,LINCOLN,47.0
1957-Lyon County,LYON,52.0
1957-Martin County,MARTIN,66.0
1957-Mcleod County,MCLEOD,63.0
1957-Meeker County,MEEKER,50.0
1957-Murray County,MURRAY,55.0
1957-Nicollet County,NICOLLET,71.0
1957-Nobles County,NOBLES,60.0
1957-Other (Combined) Counties County,OTHER (COMBINED) COUNTIES,35.0
1957-Other (Combined) Counties County,OTHER (COMBINED) COUNTIES,38.6
1957-Other (Combined) Counties County,OTHER (COMBINED) COUNTIES,42.9
1957-Other (Combined) Counties County,OTHER (COMBINED) COUNTIES,32.1
1957-Other (Combined) Counties County,OTHER (COMBINED) COUNTIES,45.1
1957-Otter Tail County,OTTER TAIL,41.0
1957-Pipestone County,PIPESTONE,50.0
1957-Pope County,POPE,40.0
1957-Ramsey County,RAMSEY,50.0
1957-Redwood County,REDWOOD,53.0
1957-Renville County,RENVILLE,52.0
1957-Rice County,RICE,68.0
1957-Rock County,ROCK,53.0
1957-Scott County,SCOTT,67.0
1957-Sherburne County,SHERBURNE,48.0
1957-Sibley County,SIBLEY,68.0
1957-Stearns County,STEARNS,46.0
1957-Steele County,STEELE,75.0
1957-Stevens County,STEVENS,42.0
1957-Swift County,SWIFT,43.0
1957-Traverse County,TRAVERSE,36.0
1957-Wadena County,WADENA,35.0
1957-Waseca County,WASECA,76.0
1957-Washington County,WASHINGTON,65.0
1957-Watonwan County,WATONWAN,60.0
1957-Wilkin County,WILKIN,38.0
1957-Wright County,WRIGHT,56.0
1957-Yellow Medicine County,YELLOW MEDICINE,45.0
1958-Anoka County,ANOKA,57.0
1958-Big Stone County,BIG STONE,40.0
1958-Blue Earth County,BLUE EARTH,67.0
1958-Brown County,BROWN,63.0
1958-Carver County,CARVER,70.0
1958-Chippewa County,CHIPPEWA,50.0
1958-Chisago County,CHISAGO,58.0
1958-Clay County,CLAY,41.0
1958-Cottonwood County,COTTONWOOD,51.0
1958-Douglas County,DOUGLAS,49.0
1958-Faribault County,FARIBAULT,65.0
1958-Freeborn County,FREEBORN,70.0
1958-Grant County,GRANT,47.0
1958-Hennepin County,HENNEPIN,62.0
1958-Isanti County,ISANTI,47.0
1958-Jackson County,JACKSON,55.0
1958-Kandiyohi County,KANDIYOHI,50.0
1958-Lac Qui Parle County,LAC QUI PARLE,49.0
1958-Le Sueur County,LE SUEUR,68.0
1958-Lincoln County,LINCOLN,45.0
1958-Lyon County,LYON,52.0
1958-Martin County,MARTIN,64.0
1958-Mcleod County,MCLEOD,63.0
1958-Meeker County,MEEKER,54.0
1958-Murray County,MURRAY,51.0
1958-Nicollet County,NICOLLET,70.0
1958-Nobles County,NOBLES,49.0
1958-Other (Combined) Counties County,OTHER (COMBINED) COUNTIES,40.0
1958-Other (Combined) Counties County,OTHER (COMBINED) COUNTIES,37.1
1958-Other (Combined) Counties County,OTHER (COMBINED) COUNTIES,39.7
1958-Other (Combined) Counties County,OTHER (COMBINED) COUNTIES,34.2
1958-Other (Combined) Counties County,OTHER (COMBINED) COUNTIES,40.2
1958-Otter Tail County,OTTER TAIL,37.0
1958-Pipestone County,PIPESTONE,38.0
1958-Pope County,POPE,42.0
1958-Ramsey County,RAMSEY,60.0
1958-Redwood County,REDWOOD,57.0
1958-Renville County,RENVILLE,58.0
1958-Rice County,RICE,64.0
1958-Rock County,ROCK,40.0
1958-Scott County,SCOTT,64.0
1958-Sherburne County,SHERBURNE,47.0
1958-Sibley County,SIBLEY,68.0
1958-Stearns County,STEARNS,46.0
1958-Steele County,STEELE,64.0
1958-Stevens County,STEVENS,43.0
1958-Swift County,SWIFT,42.0
1958-Traverse County,TRAVERSE,40.0
1958-Wadena County,WADENA,30.0
1958-Waseca County,WASECA,70.0
1958-Washington County,WASHINGTON,61.0
1958-Watonwan County,WATONWAN,65.0
1958-Wilkin County,WILKIN,41.0
1958-Wright County,WRIGHT,60.0
1958-Yellow Medicine County,YELLOW MEDICINE,56.0
1959-Anoka County,ANOKA,46.0
1959-Becker County,BECKER,39.0
1959-Benton County,BENTON,49.0
1959-Big Stone County,BIG STONE,25.0
1959-Blue Earth County,BLUE EARTH,54.0
1959-Brown County,BROWN,53.0
1959-Carver County,CARVER,68.0
1959-Cass County,CASS,36.0
1959-Chippewa County,CHIPPEWA,46.0
1959-Chisago County,CHISAGO,55.0
1959-Clay County,CLAY,43.0
1959-Cottonwood County,COTTONWOOD,43.0
1959-Crow Wing County,CROW WING,32.0
1959-Douglas County,DOUGLAS,42.0
1959-Faribault County,FARIBAULT,65.0
1959-Freeborn County,FREEBORN,64.0
1959-Grant County,GRANT,41.0
1959-Hennepin County,HENNEPIN,60.0
1959-Hubbard County,HUBBARD,39.0
1959-Isanti County,ISANTI,46.0
1959-Jackson County,JACKSON,49.0
1959-Kanabec County,KANABEC,44.0
1959-Kandiyohi County,KANDIYOHI,49.0
1959-Lac Qui Parle County,LAC QUI PARLE,34.0
1959-Le Sueur County,LE SUEUR,58.0
1959-Lincoln County,LINCOLN,25.0
1959-Lyon County,LYON,32.0
1959-Mahnomen County,MAHNOMEN,45.0
1959-Martin County,MARTIN,55.0
1959-Mcleod County,MCLEOD,65.0
1959-Meeker County,MEEKER,52.0
1959-Mille Lacs County,MILLE LACS,49.0
1959-Morrison County,MORRISON,35.0
1959-Murray County,MURRAY,46.0
1959-Nicollet County,NICOLLET,61.0
1959-Nobles County,NOBLES,48.0
1959-Norman County,NORMAN,42.0
1959-Other (Combined) Counties County,OTHER (COMBINED) COUNTIES,45.7
1959-Other (Combined) Counties County,OTHER (COMBINED) COUNTIES,44.3
1959-Other (Combined) Counties County,OTHER (COMBINED) COUNTIES,45.0
